[2024-12-29 01:08:58.708] [info]  DiscordSplash.signalReady
[2024-12-29 01:08:58.729] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-29 01:08:58.730] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-29 01:08:58.731] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-29 01:08:58.732] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-29 01:08:58.732] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-29 01:08:58.732] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-29 01:08:58.732] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-29 01:08:58.732] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-29 01:08:58.733] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-29 01:08:58.733] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-29 01:08:58.733] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-29 01:08:58.733] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-29 01:08:58.733] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-29 01:08:58.733] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-29 01:08:59.125] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-29 01:08:59.125] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-29 01:08:59.707] [info]  Splash.updateCountdownSeconds: undefined
[2024-12-29 01:09:00.279] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-29 01:09:00.279] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-29 01:09:00.286] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-29 01:09:00.286] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-29 01:09:00.306] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-29 01:09:00.307] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2024-12-29 01:09:00.320] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-29 01:09:00.320] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-29 01:09:00.324] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-29 01:09:00.324] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-29 01:09:00.335] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-29 01:09:00.335] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-29 01:09:00.340] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-29 01:09:00.341] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-29 01:09:00.351] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-12-29 01:09:00.352] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-12-29 01:09:00.357] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-12-29 01:09:00.357] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-12-29 01:09:00.363] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-12-29 01:09:00.363] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-12-29 01:09:00.368] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-12-29 01:09:00.369] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-12-29 01:09:00.372] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-29 01:09:00.373] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-29 01:09:00.376] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-12-29 01:09:00.376] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-12-29 01:09:00.377] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-12-29 01:09:00.378] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2024-12-29 01:09:00.379] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-12-29 01:09:00.380] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-12-29 01:09:00.384] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-12-29 01:09:00.385] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2024-12-29 01:09:00.386] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-12-29 01:09:00.386] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-12-29 01:09:00.388] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2024-12-29 01:09:00.388] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2024-12-29 01:09:00.392] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2024-12-29 01:09:00.392] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":19}
[2024-12-29 01:09:00.393] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-12-29 01:09:00.393] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-12-29 01:09:00.398] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-12-29 01:09:00.398] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-12-29 01:09:00.400] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2024-12-29 01:09:00.400] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":22}
[2024-12-29 01:09:00.406] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2024-12-29 01:09:00.407] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2024-12-29 01:09:00.410] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2024-12-29 01:09:00.410] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":24}
[2024-12-29 01:09:00.413] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2024-12-29 01:09:00.414] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":26}
[2024-12-29 01:09:00.415] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2024-12-29 01:09:00.415] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":27}
[2024-12-29 01:09:00.416] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2024-12-29 01:09:00.416] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":28}
[2024-12-29 01:09:00.422] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2024-12-29 01:09:00.422] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":31}
[2024-12-29 01:09:00.429] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2024-12-29 01:09:00.429] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":33}
[2024-12-29 01:09:00.429] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2024-12-29 01:09:00.429] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2024-12-29 01:09:00.430] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2024-12-29 01:09:00.430] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":35}
[2024-12-29 01:09:00.433] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
